Backbone,Dataset,Core-Uniform
Qwen3-VL-8B,VideoMME,2.962962962962969
Qwen3-VL-8B,LongVideoBench,6.357516828721025
Qwen3-VL-8B,MLVU-Dev M-AVG,9.666652272251554
InternVL3-8B,VideoMME,0.7777777777777857
InternVL3-8B,LongVideoBench,5.983545250560958
InternVL3-8B,MLVU-Dev M-AVG,5.381617238969042
mPLUG-Owl3-7B,VideoMME,1.0740740740740833
mPLUG-Owl3-7B,LongVideoBench,5.0112191473447965
mPLUG-Owl3-7B,MLVU-Dev M-AVG,3.6916071170331293
LLaVA-Video-7B,VideoMME,2.2222222222222143
LLaVA-Video-7B,LongVideoBench,3.889304412864611
LLaVA-Video-7B,MLVU-Dev M-AVG,4.941891827598596
