Backbone,Input,VideoMME,LongVideoBench,MLVU-Dev M-AVG,Mean
Qwen3-VL-8B,Uniform32,63.59259259259259,58.26477187733732,63.94955847585534,61.93564098192841
Qwen3-VL-8B,HDEA-Core32,66.55555555555556,64.62228870605834,73.6162107481069,68.26468500324027
Qwen3-VL-8B,HDEA-Full,67.37037037037037,65.22064323111444,74.25345994402953,68.94815784850478
InternVL3-8B,Uniform32,64.48148148148148,58.78833208676141,67.52045783800952,63.59675713541747
InternVL3-8B,HDEA-Core32,65.25925925925927,64.77187733732237,72.90207507697856,67.64440389118674
InternVL3-8B,HDEA-Full,66.14814814814814,64.77187733732237,73.50497554317845,68.14166700954964
mPLUG-Owl3-7B,Uniform32,54.18518518518518,52.80478683620045,60.46827242687151,55.819414816085704
mPLUG-Owl3-7B,HDEA-Core32,55.25925925925927,57.816005983545246,64.15987954390464,59.07838159556972
mPLUG-Owl3-7B,HDEA-Full,56.148148148148145,58.339566192969336,65.2236400274421,59.903784789519854
LLaVA-NeXT-Video-7B,Uniform32,58.851851851851855,56.54450261780105,62.939590092028354,59.445314853893755
LLaVA-NeXT-Video-7B,HDEA-Core32,61.07407407407407,60.43380703066566,67.88148191962695,63.12978767478889
LLaVA-NeXT-Video-7B,HDEA-Full,62.40740740740741,60.80777860882572,68.65148748110882,63.95555783244731
