Backbone,Dataset,Method A,Method A role,Method B,Method B role,Fixes,Losses,Net fixes,Exact McNemar p,Accuracy/M-AVG delta,Video-cluster CI low,Video-cluster CI high,MLVU statistical unit note
Qwen3-VL-8B,VideoMME,Uniform32,baseline,HDEA-Core32,evaluated_method,275,195,80,0.0002601923584538297,2.962962962962969,1.4074074074074048,4.519444444444439,Delta and pairs=question accuracy
Qwen3-VL-8B,LongVideoBench,Uniform32,baseline,HDEA-Core32,evaluated_method,153,68,85,1.0648479970261976e-08,6.357516828721025,4.179331306990882,8.588177260229656,Delta and pairs=question accuracy
Qwen3-VL-8B,MLVU-Dev M-AVG,Uniform32,baseline,HDEA-Core32,evaluated_method,351,140,211,5.948511033001452e-22,9.666652272251554,7.532563585914892,11.76779131180893,Delta=M-AVG; fixes/losses/McNemar=question level
InternVL3-8B,VideoMME,Uniform32,baseline,HDEA-Core32,evaluated_method,233,212,21,0.3430925800435383,0.7777777777777857,-0.7777777777777715,2.2962962962962905,Delta and pairs=question accuracy
InternVL3-8B,LongVideoBench,Uniform32,baseline,HDEA-Core32,evaluated_method,150,70,80,7.278807929226076e-08,5.983545250560958,3.8812785388127864,8.096103861047725,Delta and pairs=question accuracy
InternVL3-8B,MLVU-Dev M-AVG,Uniform32,baseline,HDEA-Core32,evaluated_method,260,136,124,4.6303043644823296e-10,5.381617238969042,3.5100174487319054,7.308411453914279,Delta=M-AVG; fixes/losses/McNemar=question level
mPLUG-Owl3-7B,VideoMME,Uniform32,baseline,HDEA-Core32,evaluated_method,220,191,29,0.16715849423814122,1.0740740740740833,-0.3333333333333357,2.518518518518512,Delta and pairs=question accuracy
mPLUG-Owl3-7B,LongVideoBench,Uniform32,baseline,HDEA-Core32,evaluated_method,131,64,67,1.8299205748631178e-06,5.0112191473447965,2.947627218829526,7.061545757085634,Delta and pairs=question accuracy
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Uniform32,baseline,HDEA-Core32,evaluated_method,258,153,105,2.510668204683997e-07,3.6916071170331293,1.7490127268197402,5.586103112576712,Delta=M-AVG; fixes/losses/McNemar=question level
LLaVA-Video-7B,VideoMME,Uniform32,baseline,HDEA-Core32,evaluated_method,255,195,60,0.005356457090522528,2.2222222222222143,0.7037037037037024,3.7777777777777786,Delta and pairs=question accuracy
LLaVA-Video-7B,LongVideoBench,Uniform32,baseline,HDEA-Core32,evaluated_method,129,77,52,0.00035639547255643855,3.889304412864611,1.8099547511312224,6.017918380567534,Delta and pairs=question accuracy
LLaVA-Video-7B,MLVU-Dev M-AVG,Uniform32,baseline,HDEA-Core32,evaluated_method,267,132,135,1.2639689421073159e-11,4.941891827598596,3.033701783926124,6.89521053654521,Delta=M-AVG; fixes/losses/McNemar=question level
