Backbone,Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count,Metric A bootstrap mean,Metric B bootstrap mean,Hypothesis family
Qwen3-VL-8B,MLVU-Dev Micro accuracy,Uniform32,HDEA-Core32,9.705611775528979,1.0515258157383367,7.67092296701178,11.792110969995035,1.0,10000,1122,65.30992131622881,75.0241756378953,primary
Qwen3-VL-8B,MLVU-Dev Anomaly Recognition,Uniform32,HDEA-Core32,0.0,2.3712901744978065,-4.761904761904759,4.545454545454547,0.4472,10000,1122,76.0491935382005,76.00316244096474,primary
Qwen3-VL-8B,MLVU-Dev Count,Uniform32,HDEA-Core32,22.330097087378633,4.404571060561101,13.574660633484164,30.845771144278604,1.0,10000,1122,32.01217494993573,54.33367789886883,primary
Qwen3-VL-8B,MLVU-Dev Egocentric Reasoning,Uniform32,HDEA-Core32,9.375000000000007,3.3546287781124944,2.840707893381402,16.000326797385615,0.9972,10000,1122,60.51146953174455,69.87058890715035,primary
Qwen3-VL-8B,MLVU-Dev NeedleQA,Uniform32,HDEA-Core32,11.83098591549296,2.444364625522192,7.1613300492610925,16.766467065868262,1.0,10000,1122,68.44067881151685,80.26704284416884,primary
Qwen3-VL-8B,MLVU-Dev Order,Uniform32,HDEA-Core32,15.057915057915054,3.045416513940151,9.163270581794952,21.111111111111114,1.0,10000,1122,51.769783523361895,66.82847945985918,primary
Qwen3-VL-8B,MLVU-Dev PlotQA,Uniform32,HDEA-Core32,9.833024118738393,2.0636448671280863,5.882352941176478,14.00787545650762,1.0,10000,1122,70.3013728863358,80.15692240896706,primary
Qwen3-VL-8B,MLVU-Dev Topic Reasoning,Uniform32,HDEA-Core32,-0.7604562737642624,1.5333761963106511,-3.773584905660371,2.2222222222222143,0.2723,10000,1122,88.60556610938035,87.85846923557396,primary
Qwen3-VL-8B,MLVU-Dev Micro accuracy,AKS32,HDEA-Core32,2.851885924563021,0.6980333437665053,1.4904613348458966,4.227368971767126,1.0,10000,1122,72.16004788420847,75.01320877804821,primary
Qwen3-VL-8B,MLVU-Dev Anomaly Recognition,AKS32,HDEA-Core32,5.0,2.467886692650257,0.45871559633027914,9.953791469194297,0.9761,10000,1122,71.0086076881322,76.0173797985744,primary
Qwen3-VL-8B,MLVU-Dev Count,AKS32,HDEA-Core32,-2.427184466019419,2.423759016966383,-7.28155339805825,2.262700534759354,0.1336,10000,1122,56.775279633523475,54.3487654868422,primary
Qwen3-VL-8B,MLVU-Dev Egocentric Reasoning,AKS32,HDEA-Core32,0.8522727272727337,1.8386685178272513,-2.79508534943317,4.501607717041793,0.6522,10000,1122,69.00432622310305,69.84147687527728,primary
Qwen3-VL-8B,MLVU-Dev NeedleQA,AKS32,HDEA-Core32,-0.8450704225352155,0.8562943805803878,-2.5446102980502734,0.8130081300813004,0.1186,10000,1122,81.14661541061487,80.3100764352318,primary
Qwen3-VL-8B,MLVU-Dev Order,AKS32,HDEA-Core32,10.424710424710419,2.522138448695338,5.660377358490564,15.476190476190474,1.0,10000,1122,56.31499977101589,66.75520736396993,primary
Qwen3-VL-8B,MLVU-Dev PlotQA,AKS32,HDEA-Core32,5.194805194805198,1.4982440868183657,2.3060092468523314,8.113672585021476,0.9993,10000,1122,74.92678954815618,80.12224655299038,primary
Qwen3-VL-8B,MLVU-Dev Topic Reasoning,AKS32,HDEA-Core32,0.7604562737642482,1.6110173101963692,-2.3622047244094517,4.000364963503644,0.6384,10000,1122,87.10134951148554,87.8590219003256,primary
Qwen3-VL-8B,MLVU-Dev Micro accuracy,OptionPool32,HDEA-Core32,0.5519779208831608,0.7146124135926505,-0.8478667952939454,1.939567857444202,0.766,10000,1122,74.47216477573684,75.01288174451662,primary
Qwen3-VL-8B,MLVU-Dev Anomaly Recognition,OptionPool32,HDEA-Core32,6.5,2.4622041146820695,1.6664364640883889,11.399315724262228,0.9963,10000,1122,69.42676385388067,75.93205791114922,primary
Qwen3-VL-8B,MLVU-Dev Count,OptionPool32,HDEA-Core32,-0.4854368932038824,2.8500631670461116,-6.111394557823132,5.116279069767437,0.3926,10000,1122,54.83128957905341,54.316878324001436,primary
Qwen3-VL-8B,MLVU-Dev Egocentric Reasoning,OptionPool32,HDEA-Core32,0.0,1.7690984049486118,-3.396399288748402,3.50912851233775,0.465,10000,1122,69.90578139666974,69.91183858505549,primary
Qwen3-VL-8B,MLVU-Dev NeedleQA,OptionPool32,HDEA-Core32,-0.2816901408450718,1.014073012144528,-2.2662889518413607,1.7006802721088405,0.3365,10000,1122,80.55938522906216,80.27962227663203,primary
Qwen3-VL-8B,MLVU-Dev Order,OptionPool32,HDEA-Core32,-8.108108108108112,2.983154686475314,-14.04272903112362,-2.34375,0.0028,10000,1122,74.88931149514373,66.76778152708079,primary
Qwen3-VL-8B,MLVU-Dev PlotQA,OptionPool32,HDEA-Core32,3.153988868274581,1.4748697396266686,0.20736345848934912,6.081183871498271,0.981,10000,1122,77.021886381548,80.15025292498592,primary
Qwen3-VL-8B,MLVU-Dev Topic Reasoning,OptionPool32,HDEA-Core32,1.9011406844106347,1.3670634418901513,-0.7633587786259568,4.659536176416987,0.8969,10000,1122,85.93024580903084,87.81652835161265,primary
Qwen3-VL-8B,MLVU-Dev Micro accuracy,PairwisePointwise32,HDEA-Core32,10.395584176632923,1.0219296129304238,8.413631806431287,12.405530247929661,1.0,10000,1122,64.63945350748946,75.02538937742001,primary
Qwen3-VL-8B,MLVU-Dev Anomaly Recognition,PairwisePointwise32,HDEA-Core32,-1.5,2.620313427464268,-6.63271351194506,3.7037037037037095,0.2552,10000,1122,77.45893931975506,75.97244882248887,primary
Qwen3-VL-8B,MLVU-Dev Count,PairwisePointwise32,HDEA-Core32,31.06796116504854,4.431497047583006,22.395833333333336,39.58333333333333,1.0,10000,1122,23.328028603076053,54.4067658557027,primary
Qwen3-VL-8B,MLVU-Dev Egocentric Reasoning,PairwisePointwise32,HDEA-Core32,13.920454545454547,2.671717025202174,8.493150684931507,19.04761904761905,1.0,10000,1122,55.983096098936166,69.8619886491847,primary
Qwen3-VL-8B,MLVU-Dev NeedleQA,PairwisePointwise32,HDEA-Core32,14.08450704225352,2.338571800710995,9.574468085106375,18.78453038674033,1.0,10000,1122,66.25089763697929,80.32135850438677,primary
Qwen3-VL-8B,MLVU-Dev Order,PairwisePointwise32,HDEA-Core32,3.0888030888030897,3.0015860218663093,-2.7673495740358818,9.022686925647449,0.8331,10000,1122,63.681236562815904,66.76416997170341,primary
Qwen3-VL-8B,MLVU-Dev PlotQA,PairwisePointwise32,HDEA-Core32,8.905380333951769,1.9531130814878237,5.146983175986438,12.712159247902418,1.0,10000,1122,71.27240041362514,80.152111483826,primary
Qwen3-VL-8B,MLVU-Dev Topic Reasoning,PairwisePointwise32,HDEA-Core32,3.8022813688212977,1.973598565245652,0.0,7.723577235772353,0.9686,10000,1122,84.0428114235373,87.82712120279619,primary
InternVL3-8B,MLVU-Dev Micro accuracy,Uniform32,HDEA-Core32,5.703771849126042,0.897264353553558,3.965899239926313,7.507808902189172,1.0,10000,1122,68.93819307253274,74.6542489646299,primary
InternVL3-8B,MLVU-Dev Anomaly Recognition,Uniform32,HDEA-Core32,-4.0,2.342217431787941,-8.717948717948715,0.507614213197968,0.0321,10000,1122,80.46290955095664,76.45346380216644,primary
InternVL3-8B,MLVU-Dev Count,Uniform32,HDEA-Core32,14.563106796116507,3.9338623069791803,6.930693069306933,22.388059701492537,1.0,10000,1122,38.80773022523238,53.41671723857459,primary
InternVL3-8B,MLVU-Dev Egocentric Reasoning,Uniform32,HDEA-Core32,8.522727272727273,2.3466575453091565,3.9734277685570083,13.19835063489886,0.9999,10000,1122,60.254299428157765,68.7829277842232,primary
InternVL3-8B,MLVU-Dev NeedleQA,Uniform32,HDEA-Core32,4.788732394366193,1.6382950272185186,1.5974440894568716,8.022922636103146,0.9973,10000,1122,77.70794023905498,82.5128044191148,primary
InternVL3-8B,MLVU-Dev Order,Uniform32,HDEA-Core32,5.7915057915057915,3.29815807831913,-0.7813265931372547,12.252964426877469,0.9525,10000,1122,54.425008617213486,60.24894199457329,primary
InternVL3-8B,MLVU-Dev PlotQA,Uniform32,HDEA-Core32,6.864564007421151,1.79942706822827,3.366290367354492,10.345171039978007,0.9998,10000,1122,74.57709278494274,81.44672958675041,primary
InternVL3-8B,MLVU-Dev Topic Reasoning,Uniform32,HDEA-Core32,1.1406844106463865,1.8186255637483935,-2.400240963855427,4.7248762876972386,0.7015,10000,1122,86.34481270315834,87.49159685626697,primary
mPLUG-Owl3-7B,MLVU-Dev Micro accuracy,Uniform32,HDEA-Core32,4.8298068077277065,0.9337118213578185,2.9815979874600624,6.64197594239137,1.0,10000,1122,62.44833044036254,67.28064284780486,primary
mPLUG-Owl3-7B,MLVU-Dev Anomaly Recognition,Uniform32,HDEA-Core32,-1.0,2.349981967074547,-5.5838272410175005,3.6458333333333357,0.3021,10000,1122,60.96756155482193,59.98862944741601,primary
mPLUG-Owl3-7B,MLVU-Dev Count,Uniform32,HDEA-Core32,1.4563106796116507,3.626557883436402,-5.660620501847891,8.531103384219673,0.6397,10000,1122,28.600921225224226,30.098091442446847,primary
