Backbone,Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count,Metric A bootstrap mean,Metric B bootstrap mean
Qwen3-VL-8B,VideoMME,Uniform32,HDEA-Core32,2.962962962962969,0.7994278348951289,1.4074074074074048,4.519444444444439,0.9997,10000,900,63.60167777777777,66.56019259259259
Qwen3-VL-8B,LongVideoBench,Uniform32,HDEA-Core32,6.357516828721025,1.1210316349894565,4.179331306990882,8.588177260229656,1.0,10000,753,58.26522392417289,64.63482431194018
Qwen3-VL-8B,MLVU-Dev M-AVG,Uniform32,HDEA-Core32,9.666652272251554,1.088959605377701,7.532563585914892,11.76779131180893,1.0,10000,1122,63.95574847863938,73.61690617079329
Qwen3-VL-8B,VideoMME,AKS32,HDEA-Core32,3.8148148148148167,0.695623147432657,2.444444444444443,5.186111111111103,1.0,10000,900,62.72675925925926,66.54936296296296
Qwen3-VL-8B,LongVideoBench,AKS32,HDEA-Core32,2.9917726252804755,1.096622552924175,0.8590119767665136,5.137751303052866,0.9966,10000,753,61.624372271146825,64.63449220313767
Qwen3-VL-8B,MLVU-Dev M-AVG,AKS32,HDEA-Core32,2.708569961714005,0.7528555606773862,1.2378996206675563,4.187926126174376,0.9997,10000,1122,70.8968525408616,73.60773920188737
Qwen3-VL-8B,VideoMME,OptionPool32,HDEA-Core32,1.7407407407407476,0.7165507762567634,0.3333333333333286,3.148148148148138,0.9919,10000,900,64.82156666666667,66.56649999999999
Qwen3-VL-8B,LongVideoBench,OptionPool32,HDEA-Core32,0.4487658937920713,1.002710777431753,-1.5742128935532167,2.3739270325272575,0.6494,10000,753,64.19147795921037,64.62010595857208
Qwen3-VL-8B,MLVU-Dev M-AVG,OptionPool32,HDEA-Core32,0.3828420586469008,0.78228845438386,-1.1699220330466158,1.9295134587987195,0.6828,10000,1122,73.22352339205551,73.59642284293108
Qwen3-VL-8B,VideoMME,PairwisePointwise32,HDEA-Core32,4.333333333333336,0.7773373954541514,2.8518518518518476,5.852777777777773,1.0,10000,900,62.2157,66.55649629629629
Qwen3-VL-8B,LongVideoBench,PairwisePointwise32,HDEA-Core32,8.302169035153334,1.1738451938000278,6.0015003750937765,10.570374957942665,1.0,10000,753,56.327726214483924,64.61698511782778
Qwen3-VL-8B,MLVU-Dev M-AVG,PairwisePointwise32,HDEA-Core32,10.48134107776184,1.076829908506055,8.40073238863801,12.585607310805322,1.0,10000,1122,63.14534429410355,73.61513778429838
InternVL3-8B,VideoMME,Uniform32,HDEA-Core32,0.7777777777777857,0.7815132549362623,-0.7777777777777715,2.2962962962962905,0.8332,10000,900,64.47542222222222,65.24945555555556
InternVL3-8B,LongVideoBench,Uniform32,HDEA-Core32,5.983545250560958,1.090447543046078,3.8812785388127864,8.096103861047725,1.0,10000,753,58.78422651430155,64.78353848569216
InternVL3-8B,MLVU-Dev M-AVG,Uniform32,HDEA-Core32,5.381617238969042,0.9683991368343701,3.5100174487319054,7.308411453914279,1.0,10000,1122,67.51139907838805,72.90759738309568
mPLUG-Owl3-7B,VideoMME,Uniform32,HDEA-Core32,1.0740740740740833,0.7221637144766411,-0.3333333333333357,2.518518518518512,0.9293,10000,900,54.173085185185194,55.26030740740742
mPLUG-Owl3-7B,LongVideoBench,Uniform32,HDEA-Core32,5.0112191473447965,1.0525944219014771,2.947627218829526,7.061545757085634,1.0,10000,753,52.8009523144794,57.82495452253443
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Uniform32,HDEA-Core32,3.6916071170331293,0.975144085467002,1.7490127268197402,5.586103112576712,0.9998,10000,1122,60.46090659235881,64.1504672534621
LLaVA-Video-7B,VideoMME,Uniform32,HDEA-Core32,2.2222222222222143,0.7839176334142375,0.7037037037037024,3.7777777777777786,0.9978,10000,900,58.84890740740742,61.08368518518518
LLaVA-Video-7B,LongVideoBench,Uniform32,HDEA-Core32,3.889304412864611,1.074489755950929,1.8099547511312224,6.017918380567534,0.9999,10000,753,56.53880788417138,60.44500231974455
LLaVA-Video-7B,MLVU-Dev M-AVG,Uniform32,HDEA-Core32,4.941891827598596,0.9737014315072184,3.033701783926124,6.89521053654521,1.0,10000,1122,62.94144266274356,67.89015619289673
