Backbone,Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count,Metric A bootstrap mean,Metric B bootstrap mean
Qwen3-VL-8B,VideoMME,HDEA-Core32,HDEA-Full,0.8148148148148096,0.4054817536882074,0.0,1.5925925925925952,0.9738,10000,900,66.56366296296297,67.37453703703703
Qwen3-VL-8B,LongVideoBench,HDEA-Core32,HDEA-Full,0.5983545250560951,0.5231300430048725,-0.4444526809982687,1.6308679030296078,0.8609,10000,753,64.62221497825062,65.21986743804065
Qwen3-VL-8B,MLVU-Dev M-AVG,HDEA-Core32,HDEA-Full,0.6372491959226352,0.47768617633203003,-0.29383616299572424,1.5708354572272536,0.9072,10000,1122,73.62210539339534,74.25881809592671
Qwen3-VL-8B,VideoMME,Uniform32,HDEA-Full,3.7777777777777786,0.7694137494693609,2.2592592592592666,5.296296296296298,1.0,10000,900,63.60312592592593,67.3711
Qwen3-VL-8B,LongVideoBench,Uniform32,HDEA-Full,6.95587135377712,1.1016911166683105,4.793995061482879,9.137436327554328,1.0,10000,753,58.282873599836925,65.22443602285216
Qwen3-VL-8B,MLVU-Dev M-AVG,Uniform32,HDEA-Full,10.303901468174189,1.0591276983884303,8.256828877867921,12.391734549004674,1.0,10000,1122,63.939595862374176,74.25027397459434
InternVL3-8B,VideoMME,HDEA-Core32,HDEA-Full,0.8888888888888715,0.41814938554985304,0.07407407407407618,1.7037037037037095,0.9822,10000,900,65.2553074074074,66.14622222222222
InternVL3-8B,LongVideoBench,HDEA-Core32,HDEA-Full,0.0,0.5341891156954298,-1.0679074886020308,1.0687431426103617,0.4722,10000,753,64.77884700976445,64.77574943635848
InternVL3-8B,MLVU-Dev M-AVG,HDEA-Core32,HDEA-Full,0.602900466199884,0.4593674992729831,-0.28196485218023104,1.5074166526324781,0.9069,10000,1122,72.90090813882333,73.50744817120298
InternVL3-8B,VideoMME,Uniform32,HDEA-Full,1.6666666666666572,0.7430829380968076,0.22222222222221433,3.1481481481481524,0.9879,10000,900,64.46964074074074,66.14152962962964
InternVL3-8B,LongVideoBench,Uniform32,HDEA-Full,5.983545250560958,1.0790835203432356,3.8520059877753505,8.072795883361925,1.0,10000,753,58.82552693422217,64.79396540122673
InternVL3-8B,MLVU-Dev M-AVG,Uniform32,HDEA-Full,5.984517705168926,0.9519231950481636,4.136015368961555,7.858831943640455,1.0,10000,1122,67.52184321487184,73.50584586406904
mPLUG-Owl3-7B,VideoMME,HDEA-Core32,HDEA-Full,0.8888888888888786,0.4616638620403561,0.0,1.8148148148148096,0.9721,10000,900,55.25297037037037,56.145581481481486
mPLUG-Owl3-7B,LongVideoBench,HDEA-Core32,HDEA-Full,0.5235602094240903,0.49087514728765413,-0.4364194577352483,1.482607184572369,0.8405,10000,753,57.81835463742782,58.342705791352074
mPLUG-Owl3-7B,MLVU-Dev M-AVG,HDEA-Core32,HDEA-Full,1.0637604835374646,0.5401811005412228,0.006660403958976959,2.1299041726655994,0.9754,10000,1122,64.16150086645456,65.2297773952913
mPLUG-Owl3-7B,VideoMME,Uniform32,HDEA-Full,1.962962962962962,0.7044916010655575,0.5925925925925952,3.3333333333333286,0.9984,10000,900,54.183833333333325,56.153248148148144
mPLUG-Owl3-7B,LongVideoBench,Uniform32,HDEA-Full,5.534779356768887,1.024553823909908,3.5205720278878627,7.567994143359352,1.0,10000,753,52.8038930638266,58.32732315943865
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Uniform32,HDEA-Full,4.755367600570594,0.9003058297275913,2.9627279918739955,6.490606242709088,1.0,10000,1122,60.49070923593277,65.22863885080942
LLaVA-NeXT-Video-7B,VideoMME,HDEA-Core32,HDEA-Full,1.3333333333333428,0.3922726383211284,0.5925925925925881,2.111111111111107,0.9996,10000,900,61.0674,62.39678148148148
LLaVA-NeXT-Video-7B,LongVideoBench,HDEA-Core32,HDEA-Full,0.37397157816005944,0.5156555851143606,-0.6622638473017414,1.3818433240703987,0.7463,10000,753,60.426644848615034,60.79924871810342
LLaVA-NeXT-Video-7B,MLVU-Dev M-AVG,HDEA-Core32,HDEA-Full,0.7700055614818666,0.4544814004188188,-0.10998604568932784,1.6756001519846855,0.9577,10000,1122,67.86942008849071,68.64862363744102
LLaVA-NeXT-Video-7B,VideoMME,Uniform32,HDEA-Full,3.555555555555557,0.7654734350805052,2.074074074074069,5.037037037037038,1.0,10000,900,58.85791851851852,62.41605925925926
LLaVA-NeXT-Video-7B,LongVideoBench,Uniform32,HDEA-Full,4.2632759910246705,1.0483773683557562,2.225479465147183,6.30503547584879,1.0,10000,753,56.54742095802568,60.81315942900026
LLaVA-NeXT-Video-7B,MLVU-Dev M-AVG,Uniform32,HDEA-Full,5.7118973890804625,0.9198401221448664,3.9002965224462995,7.515110706573417,1.0,10000,1122,62.93091639258188,68.64028942219305
