Backbone,Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count,Metric A bootstrap mean,Metric B bootstrap mean,Hypothesis family
Qwen3-VL-8B,VideoMME Short,Uniform32,HDEA-Core32,3.333333333333343,1.0063356747551142,1.3333333333333428,5.333333333333329,0.9997,10000,300,74.48226666666667,77.79432222222222,primary
Qwen3-VL-8B,VideoMME Medium,Uniform32,HDEA-Core32,5.222222222222221,1.503773943857489,2.3333333333333286,8.111111111111114,0.9998,10000,300,60.879422222222225,66.12043333333334,primary
Qwen3-VL-8B,VideoMME Long,Uniform32,HDEA-Core32,0.3333333333333357,1.5473567611358716,-2.6666666666666643,3.3333333333333357,0.5657,10000,300,55.443344444444435,55.765822222222226,primary
Qwen3-VL-8B,VideoMME Short,AKS32,HDEA-Core32,3.8888888888889,0.8464045411909634,2.2222222222222285,5.555555555555557,1.0,10000,300,73.86254444444444,77.75222222222223,primary
Qwen3-VL-8B,VideoMME Medium,AKS32,HDEA-Core32,4.666666666666671,1.2631395188166077,2.2222222222222214,7.222222222222214,1.0,10000,300,61.44471111111111,66.12219999999999,primary
Qwen3-VL-8B,VideoMME Long,AKS32,HDEA-Core32,2.888888888888893,1.4303577137751144,0.11111111111111427,5.777777777777779,0.9794,10000,300,52.873022222222225,55.773666666666664,primary
Qwen3-VL-8B,VideoMME Short,OptionPool32,HDEA-Core32,2.2222222222222285,0.8455297243548131,0.5555555555555571,3.8888888888888857,0.9961,10000,300,75.54703333333333,77.76985555555555,primary
Qwen3-VL-8B,VideoMME Medium,OptionPool32,HDEA-Core32,0.5555555555555571,1.3226136598260474,-2.0,3.2222222222222214,0.6509,10000,300,65.55796666666667,66.13743333333333,primary
Qwen3-VL-8B,VideoMME Long,OptionPool32,HDEA-Core32,2.444444444444443,1.4689584104172162,-0.44444444444444287,5.2222222222222285,0.946,10000,300,53.3597,55.792211111111115,primary
Qwen3-VL-8B,VideoMME Short,PairwisePointwise32,HDEA-Core32,3.6666666666666714,0.9855709918398915,1.7777777777777715,5.666666666666657,1.0,10000,300,74.09226666666667,77.76622222222224,primary
Qwen3-VL-8B,VideoMME Medium,PairwisePointwise32,HDEA-Core32,5.777777777777779,1.5740589899835942,2.6666666666666643,8.888888888888886,0.9996,10000,300,60.304533333333325,66.09511111111112,primary
Qwen3-VL-8B,VideoMME Long,PairwisePointwise32,HDEA-Core32,3.55555555555555,1.4543345333666793,0.6666666666666714,6.444444444444443,0.9929,10000,300,52.2503,55.80815555555555,primary
InternVL3-8B,VideoMME Short,Uniform32,HDEA-Core32,1.2222222222222285,1.0179550866521712,-0.7777777777777715,3.2222222222222285,0.8692,10000,300,75.01018888888889,76.21546666666666,primary
InternVL3-8B,VideoMME Medium,Uniform32,HDEA-Core32,1.6666666666666643,1.5638583164090982,-1.4444444444444429,4.7777777777777715,0.8533,10000,300,62.86687777777777,64.53293333333333,primary
InternVL3-8B,VideoMME Long,Uniform32,HDEA-Core32,-0.55555555555555,1.4261843153257712,-3.3333333333333357,2.2222222222222214,0.3337,10000,300,55.5492,54.99996666666667,primary
mPLUG-Owl3-7B,VideoMME Short,Uniform32,HDEA-Core32,-0.11111111111111427,1.002762366900062,-2.111111111111107,1.7805555555555228,0.4387,10000,300,64.5443,64.45182222222222,primary
mPLUG-Owl3-7B,VideoMME Medium,Uniform32,HDEA-Core32,3.555555555555557,1.4186498817087123,0.7777777777777786,6.333333333333336,0.9937,10000,300,51.76874444444445,55.332566666666665,primary
mPLUG-Owl3-7B,VideoMME Long,Uniform32,HDEA-Core32,-0.22222222222222143,1.2990158757057764,-2.7777777777777715,2.3333333333333286,0.421,10000,300,46.20621111111111,45.99653333333334,primary
LLaVA-NeXT-Video-7B,VideoMME Short,Uniform32,HDEA-Core32,0.3333333333333286,1.0085049073826173,-1.6666666666666572,2.3333333333333286,0.6165,10000,300,72.5433111111111,72.89657777777778,primary
LLaVA-NeXT-Video-7B,VideoMME Medium,Uniform32,HDEA-Core32,4.333333333333329,1.445988315894168,1.5555555555555571,7.222222222222221,0.9987,10000,300,55.10677777777777,59.46062222222223,primary
LLaVA-NeXT-Video-7B,VideoMME Long,Uniform32,HDEA-Core32,2.0,1.5416650711609452,-1.0,5.111111111111107,0.8936,10000,300,48.896633333333334,50.893855555555554,primary
Qwen3-VL-8B,VideoMME Short,HDEA-Core32,HDEA-Full,0.5555555555555429,0.4821269979736477,-0.3333333333333428,1.4444444444444429,0.8448,10000,300,77.78727777777779,78.33605555555555,secondary
Qwen3-VL-8B,VideoMME Medium,HDEA-Core32,HDEA-Full,0.22222222222221433,0.7400667893675399,-1.2222222222222285,1.6666666666666714,0.587,10000,300,66.11227777777778,66.32702222222223,secondary
Qwen3-VL-8B,VideoMME Long,HDEA-Core32,HDEA-Full,1.6666666666666643,0.8273948816643291,0.11111111111110716,3.3333333333333286,0.9754,10000,300,55.79143333333332,57.46053333333334,secondary
Qwen3-VL-8B,VideoMME Short,Uniform32,HDEA-Full,3.8888888888888857,1.0016825580816944,2.0,5.888888888888886,1.0,10000,300,74.45395555555557,78.35322222222223,secondary
Qwen3-VL-8B,VideoMME Medium,Uniform32,HDEA-Full,5.444444444444436,1.4918000602309054,2.555555555555557,8.444444444444443,0.9999,10000,300,60.897777777777776,66.31696666666667,secondary
Qwen3-VL-8B,VideoMME Long,Uniform32,HDEA-Full,2.0,1.4415112217301043,-0.7777777777777786,4.777777777777779,0.9093,10000,300,55.45764444444445,57.443111111111115,secondary
InternVL3-8B,VideoMME Short,HDEA-Core32,HDEA-Full,0.8888888888888857,0.47665453787136636,0.0,1.8888888888888857,0.9628,10000,300,76.2117222222222,77.1020888888889,secondary
