Backbone,Dataset,E40,E48,Full,Oracle branch,Regret Full,Regret E40,Regret E48,Full rank
Qwen3-VL-8B,VideoMME,67.44444444444444,67.51851851851852,67.44444444444444,67.51851851851852,0.07407407407407618,0.07407407407407618,0.0,second
Qwen3-VL-8B,LongVideoBench,65.07105459985041,65.14584891548242,65.22064323111444,65.14584891548242,-0.07479431563201899,0.07479431563200478,0.0,sole_first
Qwen3-VL-8B,MLVU-Dev M-AVG,73.76911356343291,74.35392763267366,74.25345994402953,74.35392763267366,0.10046768864413025,0.5848140692407497,0.0,second
InternVL3-8B,VideoMME,66.0,66.85185185185185,66.33333333333333,66.85185185185185,0.518518518518519,0.8518518518518476,0.0,second
InternVL3-8B,LongVideoBench,64.84667165295438,64.9962602842184,64.47270007479432,64.9962602842184,0.5235602094240761,0.14958863126400956,0.0,third
InternVL3-8B,MLVU-Dev M-AVG,73.14955823332892,73.64893245687342,73.50497554317845,73.64893245687342,0.14395691369497854,0.4993742235445069,0.0,second
mPLUG-Owl3-7B,VideoMME,56.111111111111114,56.851851851851855,55.96296296296296,56.851851851851855,0.8888888888888928,0.7407407407407405,0.0,third
mPLUG-Owl3-7B,LongVideoBench,58.63874345549738,58.339566192969336,58.339566192969336,58.63874345549738,0.29917726252804044,0.0,0.29917726252804044,second
mPLUG-Owl3-7B,MLVU-Dev M-AVG,64.90584410069042,64.83705887229705,65.2236400274421,64.90584410069042,-0.31779592675168544,0.0,0.06878522839336654,sole_first
LLaVA-Video-7B,VideoMME,61.48148148148148,62.88888888888889,62.48148148148148,62.88888888888889,0.4074074074074119,1.4074074074074119,0.0,second
LLaVA-Video-7B,LongVideoBench,61.555721765145854,60.43380703066566,60.88257292445775,61.555721765145854,0.673148840688107,0.0,1.1219147344801925,second
LLaVA-Video-7B,MLVU-Dev M-AVG,68.36856070933669,67.7889236358227,68.65148748110882,68.36856070933669,-0.2829267717721251,0.0,0.5796370735139931,sole_first
