Dataset,Residual actions K,Frames,Metric,Gain over Core,Isolated answerer calls,End-to-end calls,Mean visual tokens
VideoMME,0,32,66.55555555555556,0.0,1,1,10448.902222222223
VideoMME,1,36,66.96296296296296,0.4074074074074048,1,2,10587.666666666666
VideoMME,2,40,67.44444444444444,0.8888888888888857,1,2,10834.644444444444
VideoMME,3,44,67.51851851851852,0.9629629629629619,1,2,10663.548888888889
VideoMME,4,48,67.51851851851852,0.9629629629629619,1,2,10660.173333333334
LongVideoBench,0,32,64.62228870605834,0.0,1,1,10340.95736724009
LongVideoBench,1,36,63.87434554973822,-0.7479431563201189,1,2,10435.42857142857
LongVideoBench,2,40,65.07105459985041,0.4487658937920713,1,2,10614.755422587883
LongVideoBench,3,44,65.29543754674646,0.6731488406881141,1,2,10413.51832460733
LongVideoBench,4,48,65.14584891548242,0.5235602094240761,1,2,10362.30665669409
MLVU-Dev M-AVG,0,32,73.6162107481069,0.0,1,1,8221.954001839926
MLVU-Dev M-AVG,1,36,73.76525923602003,0.1490484879131344,1,2,8553.999080036798
MLVU-Dev M-AVG,2,40,73.76911356343291,0.15290281532601568,1,2,8984.940202391905
MLVU-Dev M-AVG,3,44,73.93279881432379,0.3165880662168945,1,2,9294.311867525299
MLVU-Dev M-AVG,4,48,74.35392763267366,0.7377168845667654,1,2,9582.645814167434
