Backbone,Dataset,View,Mean answer calls,Mean visual tokens,Mean runtime seconds
Qwen3-VL-8B,VideoMME,Core32,1.0,10448.902222222223,4.394997528676012
Qwen3-VL-8B,VideoMME,E40,1.0,10834.644444444444,4.678703944864065
Qwen3-VL-8B,VideoMME,E48,1.0,10660.173333333334,5.551475833881677
Qwen3-VL-8B,VideoMME,Full,3.0,31943.72,14.625177307421755
Qwen3-VL-8B,LongVideoBench,Core32,1.0,10340.95736724009,5.003601384298781
Qwen3-VL-8B,LongVideoBench,E40,1.0,10614.755422587883,4.4821990194831
Qwen3-VL-8B,LongVideoBench,E48,1.0,10362.30665669409,5.152705940112381
Qwen3-VL-8B,LongVideoBench,Full,3.0,31318.019446522063,14.638506343894264
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,1.0,8221.954001839926,5.618890796199428
Qwen3-VL-8B,MLVU-Dev M-AVG,E40,1.0,8984.940202391905,7.131642786425255
Qwen3-VL-8B,MLVU-Dev M-AVG,E48,1.0,9582.645814167434,8.666761652693296
Qwen3-VL-8B,MLVU-Dev M-AVG,Full,3.0,26789.540018399264,21.41729523531798
InternVL3-8B,VideoMME,Core32,1.0,8159.857777777778,4.029185344206376
InternVL3-8B,VideoMME,E40,1.0,10012.16,4.78843588667859
InternVL3-8B,VideoMME,E48,1.0,11864.462222222222,5.563631837403476
InternVL3-8B,VideoMME,Full,3.0,30036.48,14.381253068288443
InternVL3-8B,LongVideoBench,Core32,1.0,7281.926701570681,3.076601284481557
InternVL3-8B,LongVideoBench,E40,1.0,8776.951383694839,3.6768875556756115
InternVL3-8B,LongVideoBench,E48,1.0,10271.976065818997,4.3663445725017365
InternVL3-8B,LongVideoBench,Full,3.0,26330.854151084517,11.119833412658906
InternVL3-8B,MLVU-Dev M-AVG,Core32,1.0,8192.0,6.247491690309644
InternVL3-8B,MLVU-Dev M-AVG,E40,1.0,10240.0,8.445533521278062
InternVL3-8B,MLVU-Dev M-AVG,E48,1.0,12288.0,10.286409803105839
InternVL3-8B,MLVU-Dev M-AVG,Full,3.0,30720.0,24.979435014693543
mPLUG-Owl3-7B,VideoMME,Core32,1.0,23236.47,3.5517438596707804
mPLUG-Owl3-7B,VideoMME,E40,1.0,28511.19,4.228847325183043
mPLUG-Owl3-7B,VideoMME,E48,1.0,33785.91,5.206166325601708
mPLUG-Owl3-7B,VideoMME,Full,3.0,85533.57,12.986757510455533
mPLUG-Owl3-7B,LongVideoBench,Core32,1.0,20736.424083769634,3.2302299760248605
mPLUG-Owl3-7B,LongVideoBench,E40,1.0,24993.740463724756,3.8941706113176346
mPLUG-Owl3-7B,LongVideoBench,E48,1.0,29251.05684367988,4.198448847032343
mPLUG-Owl3-7B,LongVideoBench,Full,3.0,74981.22139117427,11.322849434374838
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Core32,1.0,23328.0,5.591816122037048
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E40,1.0,29160.0,8.132883066366313
mPLUG-Owl3-7B,MLVU-Dev M-AVG,E48,1.0,34992.0,9.506839955474053
mPLUG-Owl3-7B,MLVU-Dev M-AVG,Full,3.0,87480.0,23.231539143877413
LLaVA-Video-7B,VideoMME,Core32,1.0,6693.633333333333,3.6306110978250703
LLaVA-Video-7B,VideoMME,E40,1.0,8213.1,4.4483128424770255
LLaVA-Video-7B,VideoMME,E48,1.0,9732.566666666668,5.538698491844402
LLaVA-Video-7B,VideoMME,Full,3.0,24639.3,13.617622432146497
LLaVA-Video-7B,LongVideoBench,Core32,1.0,5973.455497382199,3.3205592166716005
LLaVA-Video-7B,LongVideoBench,E40,1.0,7199.842931937173,4.02856606712032
LLaVA-Video-7B,LongVideoBench,E48,1.0,8426.230366492147,4.681674197766095
LLaVA-Video-7B,LongVideoBench,Full,3.0,21599.52879581152,12.030799481558015
LLaVA-Video-7B,MLVU-Dev M-AVG,Core32,1.0,6720.0,6.010401973080167
LLaVA-Video-7B,MLVU-Dev M-AVG,E40,1.0,8400.0,8.489671286683883
LLaVA-Video-7B,MLVU-Dev M-AVG,E48,1.0,10080.0,10.7182739099707
LLaVA-Video-7B,MLVU-Dev M-AVG,Full,3.0,25200.0,25.21834716973475
