Backbone,Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count,Metric A bootstrap mean,Metric B bootstrap mean
Qwen3-VL-8B,VideoMME,Core32,E40,0.8888888888888857,0.488393663976801,-0.07407407407407618,1.8518518518518476,0.9622,10000,900,66.56019259259259,67.45269259259258
Qwen3-VL-8B,VideoMME,Core32,E48,0.9629629629629619,0.5327620695586192,-0.07407407407407618,2.000925925925912,0.9616,10000,900,66.56775555555555,67.53823333333334
Qwen3-VL-8B,VideoMME,Core32,Full,0.8888888888888857,0.406045219310899,0.07407407407407618,1.6675925925925836,0.9843,10000,900,66.56455185185186,67.45723703703703
Qwen3-VL-8B,VideoMME,E40,Full,0.0,0.35553823548121166,-0.7037037037036953,0.7037037037036953,0.4871,10000,900,67.43395185185184,67.4405037037037
Qwen3-VL-8B,VideoMME,E48,Full,-0.07407407407407618,0.3690966327989806,-0.8148148148148096,0.6666666666666572,0.3982,10000,900,67.51364444444445,67.43815185185186
Qwen3-VL-8B,LongVideoBench,Core32,E40,0.4487658937920713,0.598817236690826,-0.7331647439292753,1.630859256878535,0.7548,10000,753,64.62042765269835,65.07394435525688
Qwen3-VL-8B,LongVideoBench,Core32,E48,0.5235602094240761,0.7209742336596813,-0.898220413106369,1.959308074019227,0.7538,10000,753,64.63252340139641,65.16140983337478
Qwen3-VL-8B,LongVideoBench,Core32,Full,0.5983545250560951,0.5179914067982996,-0.439560439560438,1.6308376575240902,0.8605,10000,753,64.60729622462664,65.20719654230977
Qwen3-VL-8B,LongVideoBench,E40,Full,0.14958863126402377,0.4119463797853309,-0.6676681778829355,0.9615562546262078,0.6056,10000,753,65.07101998376444,65.21457489080085
Qwen3-VL-8B,LongVideoBench,E48,Full,0.07479431563201899,0.5328718623592431,-0.97234429794114,1.128668171557564,0.5252,10000,753,65.1604629736046,65.23531781584101
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E40,0.15290281532601568,0.534031123336746,-0.9034693012203661,1.1918283364668123,0.6079,10000,1122,73.61236338814629,73.76073106724881
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E48,0.7377168845667654,0.6554358662201057,-0.5539705015198041,2.0192723644760155,0.8727,10000,1122,73.60901086144305,74.34555213203524
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,Full,0.6372491959226352,0.47892825147716567,-0.2823151294175961,1.5844021369722134,0.9069,10000,1122,73.6046424819286,74.24699190985379
Qwen3-VL-8B,MLVU-Dev M-AVG,E40,Full,0.4843463805966195,0.36333980765960217,-0.21774118787155636,1.2021751365939604,0.9089,10000,1122,73.74690854671975,74.23329134824178
Qwen3-VL-8B,MLVU-Dev M-AVG,E48,Full,-0.10046768864413025,0.4793446926834651,-1.039432103525908,0.862955909482463,0.4213,10000,1122,74.34903679852995,74.25389181737008
InternVL3-8B,VideoMME,Core32,E40,0.7407407407407334,0.470417276353234,-0.18518518518519045,1.6666666666666572,0.9342,10000,900,65.24988888888889,65.98435925925925
InternVL3-8B,VideoMME,Core32,E48,1.592592592592581,0.5311719746407525,0.5555555555555571,2.6296296296296333,0.9982,10000,900,65.26840740740741,66.85906296296297
InternVL3-8B,VideoMME,Core32,Full,1.074074074074062,0.4173060347528765,0.2592592592592524,1.8518518518518619,0.9941,10000,900,65.24308518518518,66.31497407407407
InternVL3-8B,VideoMME,E40,Full,0.3333333333333286,0.294186237052915,-0.22222222222222854,0.9259259259259238,0.8538,10000,900,65.98677407407408,66.31836666666666
InternVL3-8B,VideoMME,E48,Full,-0.518518518518519,0.36898850593904137,-1.2592592592592524,0.22222222222221433,0.0739,10000,900,66.83164814814815,66.31996296296296
InternVL3-8B,LongVideoBench,Core32,E40,0.07479431563201899,0.5824347344448341,-1.0550311945542217,1.2363664465364599,0.5297,10000,753,64.76782416959438,64.84777802939108
InternVL3-8B,LongVideoBench,Core32,E48,0.22438294689602856,0.7034219987266732,-1.1914293017414774,1.6153608023520756,0.609,10000,753,64.7718539164273,64.99071486922463
InternVL3-8B,LongVideoBench,Core32,Full,-0.29917726252804755,0.5226212284620909,-1.3483398750063116,0.7380346530737988,0.2696,10000,753,64.76127829254742,64.47018796398041
InternVL3-8B,LongVideoBench,E40,Full,-0.37397157816006654,0.4315928960685367,-1.2232649881021795,0.455235204855839,0.1607,10000,753,64.83956207675857,64.45862831812047
InternVL3-8B,LongVideoBench,E48,Full,-0.5235602094240761,0.5271347708754515,-1.5624999999999931,0.5102133851352333,0.1409,10000,753,64.98541993319019,64.45450531355003
InternVL3-8B,MLVU-Dev M-AVG,Core32,E40,0.24748315635035567,0.5384071352416535,-0.81688060852935,1.2868211804794445,0.6763,10000,1122,72.91237884546577,73.15193745509295
InternVL3-8B,MLVU-Dev M-AVG,Core32,E48,0.7468573798948626,0.6138508220441736,-0.43274626219119056,1.9567616175700202,0.8927,10000,1122,72.8808897051703,73.64281242842598
InternVL3-8B,MLVU-Dev M-AVG,Core32,Full,0.602900466199884,0.45858266351014415,-0.29332199484779725,1.5120511147401827,0.9057,10000,1122,72.91109136992598,73.514752210889
