Backbone,Dataset,Core32,E40,E48,Full,Full-Core,MLVU Micro Core32,MLVU Micro E40,MLVU Micro E48,MLVU Micro Full
Qwen3-VL-8B,VideoMME,66.55555555555556,67.44444444444444,67.51851851851852,67.44444444444444,0.8888888888888857,,,,
Qwen3-VL-8B,LongVideoBench,64.62228870605834,65.07105459985041,65.14584891548242,65.22064323111444,0.5983545250560951,,,,
Qwen3-VL-8B,MLVU-Dev M-AVG,73.6162107481069,73.76911356343291,74.35392763267366,74.25345994402953,0.6372491959226352,75.0229990800368,75.25298988040478,75.66697332106716,75.71297148114076
InternVL3-8B,VideoMME,65.25925925925927,66.0,66.85185185185185,66.33333333333333,1.074074074074062,,,,
InternVL3-8B,LongVideoBench,64.77187733732237,64.84667165295438,64.9962602842184,64.47270007479432,-0.29917726252804755,,,,
InternVL3-8B,MLVU-Dev M-AVG,72.90207507697856,73.14955823332892,73.64893245687342,73.50497554317845,0.602900466199884,74.65501379944803,74.9770009199632,75.34498620055197,75.25298988040478
mPLUG-Owl3-7B,VideoMME,55.25925925925927,56.111111111111114,56.851851851851855,55.96296296296296,0.7037037037036953,,,,
mPLUG-Owl3-7B,LongVideoBench,57.816005983545246,58.63874345549738,58.339566192969336,58.339566192969336,0.5235602094240903,,,,
mPLUG-Owl3-7B,MLVU-Dev M-AVG,64.15987954390464,64.90584410069042,64.83705887229705,65.2236400274421,1.0637604835374646,67.2953081876725,67.75528978840846,67.80128794848206,68.21527138914443
LLaVA-Video-7B,VideoMME,61.07407407407407,61.48148148148148,62.88888888888889,62.48148148148148,1.4074074074074119,,,,
LLaVA-Video-7B,LongVideoBench,60.43380703066566,61.555721765145854,60.43380703066566,60.88257292445775,0.44876589379208554,,,,
LLaVA-Video-7B,MLVU-Dev M-AVG,67.88148191962695,68.36856070933669,67.7889236358227,68.65148748110882,0.7700055614818666,70.42318307267709,70.69917203311867,70.28518859245631,70.92916283348666
