Backbone,Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count,Metric A bootstrap mean,Metric B bootstrap mean,Scope
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E40,0.22999080036798603,0.504499455339394,-0.7604834199901223,1.211006189524734,0.6576,10000,1122,75.02756382944996,75.25642926631366,Micro accuracy
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E40,1.5,1.655318147049357,-1.5789473684210407,4.81283422459893,0.7781,10000,1122,75.99603493570974,77.49375910627619,Anomaly Recognition
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E40,0.9708737864077648,1.5336094013147834,-2.0202020202020208,3.980099502487562,0.678,10000,1122,54.34015592539533,55.300346293272405,Count
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E40,-0.568181818181813,1.5104585955564864,-3.6364909600203754,2.3188592559390364,0.3166,10000,1122,69.88311105230697,69.29800085813565,Egocentric Reasoning
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E40,0.0,0.5607080027456146,-1.126760563380273,1.1279526720483923,0.3917,10000,1122,80.30419735130081,80.29530280047271,NeedleQA
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E40,-2.3166023166022995,1.8223007904244484,-5.970297912826313,1.17647058823529,0.0807,10000,1122,66.7888521357729,64.46020630112088,Order
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E40,1.484230055658628,1.0505096636690245,-0.5556331471135955,3.565221543162715,0.9104,10000,1122,80.15110438994174,81.65402215808624,PlotQA
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E40,0.0,1.315884351803112,-2.671755725190849,2.5270758122743757,0.4458,10000,1122,87.82308792659649,87.82347995337757,Topic Reasoning
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E48,0.6439742410303637,0.5994827171312845,-0.5208580407969731,1.809750028871081,0.8508,10000,1122,75.0210313837493,75.6638192743218,Micro accuracy
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E48,2.5,2.0526762745417257,-1.492537313432834,6.608477133886625,0.8713,10000,1122,75.98298751785192,78.53366424572575,Anomaly Recognition
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E48,1.9417475728155367,2.1641249819468595,-2.304414149172212,6.217616580310882,0.7878,10000,1122,54.33007565274777,56.268727184968,Count
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E48,-0.568181818181813,1.8317901348724455,-4.301240694789078,2.9730534105534185,0.3405,10000,1122,69.8493762849479,69.24608380002057,Egocentric Reasoning
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E48,0.5633802816901436,0.800682185677522,-1.0067114093959617,2.1943573667711576,0.6978,10000,1122,80.3079816140779,80.8652046379165,NeedleQA
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E48,-0.3861003861003809,2.1596493378441664,-4.6511627906976685,3.891050583657588,0.388,10000,1122,66.81258127587897,66.39856318957287,Order
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E48,1.113172541743964,1.1508933196043543,-1.1200373831775745,3.4234909427628963,0.8201,10000,1122,80.13561968880512,81.26045463018595,PlotQA
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,E48,0.0,1.4247063558463924,-2.8225806451612954,2.7670729029424743,0.4525,10000,1122,87.84445399579174,87.846167235857,Topic Reasoning
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,Full,0.6899724011039581,0.4662675819162361,-0.22115825735328193,1.6198581061304116,0.9233,10000,1122,75.0117405459959,75.70743997504123,Micro accuracy
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,Full,2.5,1.4948565738962412,-0.47399006996164267,5.581395348837205,0.9404,10000,1122,75.97503983477307,78.48456393397977,Anomaly Recognition
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,Full,0.0,1.533764656299884,-2.985074626865668,3.045685279187815,0.4357,10000,1122,54.412486806213984,54.41174783877913,Count
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,Full,-0.8522727272727337,1.5897121218522106,-4.054054054054049,2.1108643948121557,0.2684,10000,1122,69.82484457808125,68.97558896017055,Egocentric Reasoning
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,Full,0.0,0.4037706961577573,-0.8196721311475414,0.8356545961002837,0.3483,10000,1122,80.30150938856315,80.30172950145591,NeedleQA
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,Full,0.772200772200776,1.4640521201394205,-2.032520325203251,3.663265306122446,0.6442,10000,1122,66.74554865278952,67.52541663456968,Order
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,Full,2.040816326530617,1.0320733562774302,0.0,4.094915912945159,0.9727,10000,1122,80.15073371551202,82.19801348446815,PlotQA
