Backbone,Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count,Metric A bootstrap mean,Metric B bootstrap mean,Duration
Qwen3-VL-8B,VideoMME,Core32,E40,0.0,0.6276006156953507,-1.2222222222222285,1.2222222222222143,0.4624,10000,300,77.79432222222222,77.79406666666668,Short
Qwen3-VL-8B,VideoMME,Core32,E40,0.6666666666666714,0.886013144401742,-1.1111111111111,2.444444444444443,0.7586,10000,300,66.12043333333334,66.79665555555555,Medium
Qwen3-VL-8B,VideoMME,Core32,E40,1.999999999999993,0.9920721650757427,0.11111111111110716,4.0,0.9754,10000,300,55.765822222222226,57.76735555555556,Long
Qwen3-VL-8B,VideoMME,Core32,E48,0.22222222222221433,0.6528627334879415,-1.1111111111111,1.5555555555555571,0.6101,10000,300,77.78315555555557,78.0127,Short
Qwen3-VL-8B,VideoMME,Core32,E48,0.8888888888888857,0.9429593230920825,-1.0,2.7777777777777715,0.8101,10000,300,66.1225,67.01762222222223,Medium
Qwen3-VL-8B,VideoMME,Core32,E48,1.7777777777777786,1.1006752597799399,-0.3333333333333357,4.0,0.9423,10000,300,55.79761111111111,57.584377777777775,Long
Qwen3-VL-8B,VideoMME,Core32,Full,0.6666666666666714,0.4659243872162554,-0.22222222222222854,1.5555555555555571,0.9073,10000,300,77.78741111111111,78.4484888888889,Short
Qwen3-VL-8B,VideoMME,Core32,Full,0.5555555555555429,0.7498733864466242,-0.8888888888888928,2.0,0.7543,10000,300,66.1097,66.67374444444444,Medium
Qwen3-VL-8B,VideoMME,Core32,Full,1.4444444444444429,0.8505758631897659,-0.22222222222222143,3.1111111111111143,0.9498,10000,300,55.796544444444436,57.24947777777778,Long
Qwen3-VL-8B,VideoMME,E40,Full,0.6666666666666714,0.44309995422698467,-0.22222222222221433,1.5555555555555571,0.9197,10000,300,77.75183333333334,78.42473333333334,Short
Qwen3-VL-8B,VideoMME,E40,Full,-0.11111111111112848,0.6738320709054987,-1.4444444444444429,1.2222222222222143,0.407,10000,300,66.7887888888889,66.68052222222222,Medium
Qwen3-VL-8B,VideoMME,E40,Full,-0.55555555555555,0.7124557466425762,-1.8888888888888928,0.8888888888888857,0.1971,10000,300,57.76123333333334,57.21625555555556,Long
Qwen3-VL-8B,VideoMME,E48,Full,0.4444444444444571,0.44145214521867526,-0.44444444444444287,1.3333333333333286,0.8128,10000,300,77.97826666666667,78.42114444444442,Short
Qwen3-VL-8B,VideoMME,E48,Full,-0.3333333333333428,0.6759501288261843,-1.6666666666666572,1.0,0.276,10000,300,67.02221111111112,66.68415555555556,Medium
Qwen3-VL-8B,VideoMME,E48,Full,-0.3333333333333357,0.7588899464202921,-1.7777777777777786,1.1111111111111143,0.3059,10000,300,57.54045555555556,57.20915555555555,Long
InternVL3-8B,VideoMME,Core32,E40,0.22222222222221433,0.4452421382916176,-0.6666666666666714,1.1111111111111143,0.6478,10000,300,76.2319,76.45362222222222,Short
InternVL3-8B,VideoMME,Core32,E40,1.2222222222222285,0.9674464508506536,-0.6666666666666714,3.1111111111111143,0.8821,10000,300,64.54931111111111,65.75015555555555,Medium
InternVL3-8B,VideoMME,Core32,E40,0.7777777777777715,0.9335641098934491,-1.0,2.555555555555557,0.7791,10000,300,54.96845555555555,55.7493,Long
InternVL3-8B,VideoMME,Core32,E48,1.2222222222222143,0.655918319719364,0.0,2.555555555555557,0.9643,10000,300,76.24673333333332,77.47237777777778,Short
InternVL3-8B,VideoMME,Core32,E48,3.2222222222222285,1.0241869413477962,1.1111111111111143,5.222222222222221,0.9991,10000,300,64.5505888888889,67.76304444444445,Medium
InternVL3-8B,VideoMME,Core32,E48,0.3333333333333286,1.039901088919574,-1.6666666666666643,2.444444444444443,0.6018,10000,300,55.0079,55.34176666666667,Long
InternVL3-8B,VideoMME,Core32,Full,0.8888888888888857,0.43654963617260617,0.0,1.7777777777777715,0.9736,10000,300,76.19747777777778,77.09055555555555,Short
InternVL3-8B,VideoMME,Core32,Full,1.6666666666666714,0.8510176480551158,0.0,3.3333333333333357,0.9709,10000,300,64.5665,66.22744444444444,Medium
InternVL3-8B,VideoMME,Core32,Full,0.6666666666666572,0.809075522165249,-0.8888888888888928,2.2222222222222214,0.7784,10000,300,54.96527777777778,55.62692222222223,Long
InternVL3-8B,VideoMME,E40,Full,0.6666666666666714,0.3507446087584513,0.0,1.3333333333333428,0.9616,10000,300,76.42782222222222,77.09043333333335,Short
InternVL3-8B,VideoMME,E40,Full,0.44444444444444287,0.5306294502079671,-0.5555555555555571,1.44444444444445,0.7688,10000,300,65.74863333333333,66.1953111111111,Medium
InternVL3-8B,VideoMME,E40,Full,-0.11111111111111427,0.6151756650947007,-1.3333333333333357,1.1111111111111072,0.3963,10000,300,55.78386666666666,55.66935555555556,Long
InternVL3-8B,VideoMME,E48,Full,-0.3333333333333286,0.48262493549530633,-1.2222222222222285,0.5555555555555571,0.2169,10000,300,77.43044444444445,77.10245555555557,Short
InternVL3-8B,VideoMME,E48,Full,-1.5555555555555571,0.7833561523829831,-3.1111111111111143,0.0,0.0177,10000,300,67.76691111111111,66.22164444444445,Medium
InternVL3-8B,VideoMME,E48,Full,0.3333333333333286,0.6372236326348791,-0.8888888888888928,1.5555555555555571,0.6733,10000,300,55.29758888888889,55.63578888888889,Long
mPLUG-Owl3-7B,VideoMME,Core32,E40,-0.11111111111111427,0.7622932149208101,-1.5555555555555642,1.3333333333333428,0.4139,10000,300,64.46171111111111,64.34887777777776,Short
mPLUG-Owl3-7B,VideoMME,Core32,E40,1.0,1.0099463484844147,-1.0,3.0,0.8257,10000,300,55.31933333333334,56.313733333333325,Medium
mPLUG-Owl3-7B,VideoMME,Core32,E40,1.6666666666666714,0.9967963757069194,-0.22222222222222854,3.6666666666666643,0.9473,10000,300,45.99451111111111,47.64984444444445,Long
mPLUG-Owl3-7B,VideoMME,Core32,E48,0.44444444444444287,0.7665181552267237,-1.0,1.8888888888889,0.6946,10000,300,64.46282222222223,64.90107777777777,Short
mPLUG-Owl3-7B,VideoMME,Core32,E48,2.555555555555557,1.1369552941114944,0.3333333333333357,4.777777777777779,0.9877,10000,300,55.320788888888885,57.8759,Medium
mPLUG-Owl3-7B,VideoMME,Core32,E48,1.7777777777777786,1.0492964638733104,-0.22222222222222143,3.8888888888888857,0.9509,10000,300,45.993,47.7687,Long
mPLUG-Owl3-7B,VideoMME,Core32,Full,0.11111111111111427,0.6192548903859096,-1.1111111111111143,1.3333333333333286,0.5352,10000,300,64.42986666666667,64.53764444444445,Short
mPLUG-Owl3-7B,VideoMME,Core32,Full,1.1111111111111072,0.8139645801021852,-0.44722222222222496,2.6666666666666714,0.9015,10000,300,55.36467777777778,56.46757777777778,Medium
mPLUG-Owl3-7B,VideoMME,Core32,Full,0.8888888888888928,0.8732544411205889,-0.7777777777777786,2.6666666666666643,0.8337,10000,300,46.01798888888889,46.914111111111104,Long
mPLUG-Owl3-7B,VideoMME,E40,Full,0.22222222222222854,0.524665773809903,-0.7777777777777786,1.2222222222222285,0.6385,10000,300,64.3292111111111,64.56386666666667,Short
mPLUG-Owl3-7B,VideoMME,E40,Full,0.11111111111110716,0.6536145537717117,-1.1111111111111143,1.3333333333333357,0.5393,10000,300,56.31358888888889,56.43405555555555,Medium
mPLUG-Owl3-7B,VideoMME,E40,Full,-0.7777777777777786,0.6201177289915661,-2.0,0.44444444444444287,0.0849,10000,300,47.69712222222223,46.911899999999996,Long
mPLUG-Owl3-7B,VideoMME,E48,Full,-0.3333333333333286,0.5103356874460356,-1.3333333333333357,0.6666666666666572,0.2182,10000,300,64.89815555555556,64.55164444444445,Short
mPLUG-Owl3-7B,VideoMME,E48,Full,-1.44444444444445,0.792210990615837,-3.0,0.11111111111111427,0.0295,10000,300,57.90304444444444,56.46137777777778,Medium
mPLUG-Owl3-7B,VideoMME,E48,Full,-0.8888888888888857,0.7451263310514246,-2.3333333333333357,0.5555555555555571,0.104,10000,300,47.77468888888889,46.892488888888884,Long
LLaVA-Video-7B,VideoMME,Core32,E40,1.1111111111111143,0.5638082461863021,0.0,2.2222222222222285,0.9734,10000,300,72.87522222222222,73.99132222222221,Short
LLaVA-Video-7B,VideoMME,Core32,E40,0.8888888888888928,0.8465484024139669,-0.6666666666666714,2.555555555555557,0.8313,10000,300,59.464977777777776,60.34765555555556,Medium
LLaVA-Video-7B,VideoMME,Core32,E40,-0.7777777777777786,0.9855605215914465,-2.6666666666666714,1.1111111111111143,0.1967,10000,300,50.876844444444444,50.094255555555556,Long
LLaVA-Video-7B,VideoMME,Core32,E48,2.333333333333343,0.7266595401120693,0.8888888888888999,3.7777777777777715,0.9994,10000,300,72.9006,75.23892222222223,Short
LLaVA-Video-7B,VideoMME,Core32,E48,2.111111111111107,0.9585202587733962,0.22222222222222143,4.0,0.9833,10000,300,59.439911111111115,61.563088888888885,Medium
LLaVA-Video-7B,VideoMME,Core32,E48,1.0,0.9787577382842354,-0.8888888888888928,3.0,0.8347,10000,300,50.90564444444445,51.907422222222216,Long
LLaVA-Video-7B,VideoMME,Core32,Full,1.8888888888888857,0.4666264513887147,1.0,2.8888888888888857,0.9999,10000,300,72.90077777777778,74.77997777777777,Short
LLaVA-Video-7B,VideoMME,Core32,Full,1.7777777777777786,0.7479503457039315,0.3333333333333357,3.3333333333333286,0.9902,10000,300,59.43175555555555,61.20505555555555,Medium
